date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/31,,@,L 0-1,5.0,8,6,6,0,4,5,82
5/25,,vs,ND,7.0,5,2,2,1,2,5,93
5/20,,vs,ND,6.0,6,2,1,0,2,8,105
5/15,,@,ND,6.0,5,3,3,2,1,5,87
5/9,,vs,W 1-0,7.0,2,0,0,0,2,6,89
5/4,,vs,W 1-0,7.0,4,2,2,1,1,3,79
4/29,,@,L 0-1,5.0,8,4,4,1,4,5,105
4/22,,vs,L 0-1,5.1,7,6,6,1,2,5,89
4/17,,@,ND,6.0,3,2,2,1,3,6,97
4/11,,vs,W 1-0,8.0,4,0,0,0,1,7,88
4/6,,@,W 1-0,7.0,3,1,1,1,3,3,102
3/28,,@,ND,6.0,3,0,0,0,1,7,80
