date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/30,,vs,L 0-1,5.0,4,3,3,2,4,2,94
5/17,,@,L 0-1,4.0,7,5,5,3,1,6,86
5/12,,vs,L 0-1,3.2,6,3,3,3,1,2,75
5/6,,@,ND,6.0,6,4,4,1,1,6,96
5/1,,@,L 0-1,3.1,7,4,4,2,2,1,56
4/25,,vs,W 1-0,5.1,8,2,2,2,0,3,94
4/19,,@,ND,6.0,5,3,3,0,4,2,104
4/14,,vs,W 1-0,6.0,6,1,1,1,0,1,75
4/8,,@,L 0-1,2.2,10,6,5,1,0,3,73
4/3,,@,ND,5.0,6,2,2,0,1,5,87
3/28,,vs,ND,4.0,5,3,3,1,2,5,74
