game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823370,2026-06-12T22:40:00Z,MIA @ PIT,PIT,MIA,Braxton Ashcraft,Sandy Alcantara,677952.0,645261.0,,2.0,0.491,1.0,4.79,7.0,0.25,60.0
822726,2026-06-12T22:45:00Z,SEA @ WSH,WSH,SEA,Zack Littell,Bryce Miller,641793.0,682243.0,0.94,8.0,0.129,28.0,,0.0,,0.0
824826,2026-06-12T23:05:00Z,SD @ BAL,BAL,SD,Shane Baz,Griffin Canning,669358.0,656288.0,3.9,6.0,0.3,20.0,6.35,7.0,0.302,38.0
824425,2026-06-12T23:10:00Z,DET @ CLE,CLE,DET,Tanner Bibee,Jack Flaherty,676440.0,656427.0,3.21,12.0,0.312,149.0,4.18,11.0,0.309,85.0
824752,2026-06-12T23:10:00Z,TEX @ BOS,BOS,TEX,Sonny Gray,Jack Leiter,543243.0,683004.0,1.62,10.0,0.253,71.0,4.22,8.0,0.427,19.0
824507,2026-06-12T23:15:00Z,AZ @ CIN,CIN,AZ,Nick Lodolo,Eduardo Rodriguez,666157.0,593958.0,8.98,6.0,0.331,26.0,1.95,12.0,0.294,44.0
823617,2026-06-12T23:15:00Z,ATL @ NYM,NYM,ATL,Nolan McLean,Spencer Strider,690997.0,675911.0,0.1,4.0,0.172,12.0,4.51,9.0,0.217,49.0
822803,2026-06-12T23:37:00Z,NYY @ TOR,TOR,NYY,TBD,Ryan Weathers,,677960.0,,,,,6.7,10.0,0.31,43.0
824588,2026-06-12T23:40:00Z,LAD @ CWS,CWS,LAD,Anthony Kay,Roki Sasaki,641743.0,808963.0,12.92,4.0,0.446,5.0,,0.0,,0.0
823778,2026-06-12T23:40:00Z,PHI @ MIL,MIL,PHI,Jacob Misiorowski,Andrew Painter,694819.0,691725.0,6.1,7.0,0.344,15.0,,0.0,,0.0
824102,2026-06-13T00:10:00Z,HOU @ KC,KC,HOU,Luinder Avila,Tatsuya Imai,679883.0,837227.0,,1.0,0.125,1.0,,0.0,,0.0
823695,2026-06-13T00:10:00Z,STL @ MIN,MIN,STL,Joe Ryan,Kyle Leahy,657746.0,681517.0,10.53,7.0,0.351,18.0,5.5,6.0,0.321,6.0
824020,2026-06-13T01:38:00Z,TB @ LAA,LAA,TB,Sam Aldegheri,Shane McClanahan,691951.0,663556.0,,0.0,,0.0,1.5,8.0,0.304,41.0
824997,2026-06-13T02:05:00Z,COL @ ATH,ATH,COL,Gage Jump,TBD,695611.0,,,1.0,,1.0,,,,
823211,2026-06-13T02:15:00Z,CHC @ SF,SF,CHC,Landen Roupp,Javier Assad,694738.0,665871.0,4.3,12.0,0.356,52.0,2.65,9.0,0.253,36.0
