date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/28,,vs,W 1-0,6.0,2,1,1,0,2,5,84
5/22,,@,W 1-0,5.2,6,4,4,0,2,7,98
5/16,,vs,W 1-0,6.0,5,1,1,1,0,7,91
5/10,,vs,ND,6.0,3,1,1,0,2,9,105
5/4,,@,W 1-0,7.0,5,0,0,0,0,10,85
4/28,,vs,W 1-0,5.2,7,1,1,0,1,7,98
4/23,,@,ND,6.1,6,1,1,0,1,7,97
4/17,,@,W 1-0,7.0,3,1,1,0,2,4,89
4/10,,@,L 0-1,7.0,7,2,2,1,0,3,82
4/5,,vs,W 1-0,6.0,4,0,0,0,2,6,85
3/30,,@,W 1-0,5.0,5,3,3,1,2,6,92
