date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/25,,vs,W 1-0,7.0,2,1,1,0,1,12,96
5/19,,@,W 1-0,6.0,3,0,0,0,1,8,74
5/13,,vs,ND,7.0,4,0,0,0,0,10,93
5/8,,vs,W 1-0,6.0,2,0,0,0,2,11,95
5/1,,@,W 1-0,5.1,0,0,0,0,2,8,85
4/25,,vs,ND,6.0,6,3,3,0,1,9,91
4/19,,@,L 0-1,5.0,4,3,1,0,3,9,97
4/14,,vs,ND,5.1,5,2,2,2,0,5,76
4/7,,@,L 0-1,5.1,2,3,3,0,4,10,101
4/1,,vs,ND,6.0,4,2,2,1,2,7,94
3/26,,vs,W 1-0,5.0,2,1,1,1,3,11,94
