date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/21,,@,ND,1.1,0,0,0,0,2,0,30
7/11,,vs,ND,2.0,3,4,4,1,4,1,65
7/6,,vs,L 0-1,5.0,7,7,7,2,1,4,93
7/1,,@,L 0-1,4.0,7,9,9,3,4,6,85
6/26,,vs,W 1-0,5.1,3,1,1,1,3,5,74
6/20,,@,ND,5.1,5,1,1,0,1,7,87
6/14,,@,W 1-0,5.0,6,1,1,1,0,5,86
6/8,,vs,ND,4.2,8,1,1,0,2,4,86
6/3,,@,ND,6.0,4,1,1,0,2,6,86
5/27,,vs,L 0-1,5.1,3,2,2,0,0,2,58
5/22,,vs,ND,5.0,5,3,3,0,4,4,85
5/16,,@,W 1-0,5.0,5,2,2,1,2,6,101
5/10,,vs,ND,6.0,3,2,2,1,0,2,89
5/5,,@,W 1-0,5.1,7,4,4,1,0,5,82
4/28,,vs,ND,4.2,3,2,2,0,3,4,92
4/22,,@,L 0-1,2.2,8,4,4,0,3,2,82
4/16,,vs,W 1-0,5.0,5,2,2,0,1,7,88
4/10,,vs,ND,6.0,3,0,0,0,0,4,68
4/5,,@,ND,2.2,3,4,4,0,3,4,61
3/30,,vs,L 0-1,4.0,5,3,3,1,2,3,72
