date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/14,,@,ND,4.0,1,0,0,0,1,7,65
5/8,,@,ND,4.0,0,0,0,0,1,3,46
5/4,,vs,ND,1.0,1,1,1,0,1,1,25
5/2,,vs,ND,2.0,0,0,0,0,0,1,24
4/29,,@,ND,1.2,0,0,0,0,0,1,11
4/27,,@,L 0-1,2.0,2,1,0,0,1,1,43
4/22,,vs,W 1-0,2.1,3,0,0,0,0,5,37
4/18,,vs,ND,2.0,2,1,0,0,1,1,38
4/15,,@,ND,2.0,0,0,0,0,0,0,17
4/11,,vs,ND,2.0,2,0,0,0,1,3,34
4/8,,@,ND,2.0,2,1,1,0,0,3,31
4/5,,@,ND,2.0,2,2,2,0,2,0,42
3/31,,vs,ND,3.1,1,0,0,0,1,5,50
3/26,,vs,ND,3.1,3,2,2,1,1,3,49
