date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/5,,vs,ND,4.0,2,0,0,0,1,4,63
6/29,,vs,L 0-1,5.2,5,4,4,3,3,4,100
6/23,,@,ND,4.2,6,2,2,1,3,6,92
6/17,,vs,W 1-0,7.0,2,1,1,1,0,5,89
6/10,,@,ND,6.1,5,2,2,2,0,6,91
6/5,,vs,W 1-0,5.1,5,1,1,1,4,4,94
5/30,,vs,W 1-0,5.0,5,2,2,0,3,3,90
5/24,,@,W 1-0,5.0,5,3,3,0,4,5,103
5/17,,vs,L 0-1,6.0,3,5,5,1,2,6,93
5/11,,vs,L 0-1,7.0,6,3,3,1,1,6,96
5/5,,vs,W 1-0,7.0,3,0,0,0,4,4,104
4/30,,@,L 0-1,4.1,2,2,2,0,3,3,91
4/22,,@,W 1-0,6.0,3,0,0,0,3,8,96
4/17,,vs,L 0-1,5.0,7,4,4,0,1,8,90
